iter	Passed	Remaining
0	259	77573
1	486	72549
2	729	72255
3	998	73884
4	1273	75159
5	1528	74891
6	1849	77409
7	2084	76076
8	2339	75632
9	2594	75227
10	2801	73612
11	3058	73412
12	3312	73122
13	3507	71648
14	3715	70587
15	4012	71225
16	4264	70992
17	4477	70140
18	4714	69732
19	4960	69451
20	5170	68691
21	5421	68514
22	5636	67877
23	5838	67140
24	6073	66808
25	6315	66552
26	6545	66177
27	6846	66511
28	7099	66344
29	7380	66427
30	7571	65697
31	7787	65219
32	8025	64931
33	8229	64383
34	8449	63971
35	8868	65033
36	9126	64873
37	9352	64483
38	9627	64428
39	9876	64198
40	10122	63945
41	10324	63424
42	10564	63138
43	10795	62812
44	11032	62515
45	11220	61956
46	11419	61469
47	11609	60948
48	11822	60558
49	12005	60026
50	12251	59817
51	12473	59489
52	12750	59424
53	12961	59044
54	13180	58713
55	13403	58400
56	13622	58073
57	13828	57699
58	14033	57323
59	14200	56803
60	14401	56425
61	14620	56122
62	14787	55630
63	15042	55470
64	15276	55228
65	15472	54855
66	15679	54527
67	15879	54176
68	16113	53945
69	16314	53606
70	16543	53357
71	16779	53135
72	16983	52811
73	17197	52523
74	17438	52316
75	17682	52116
76	17888	51805
77	18071	51433
78	18268	51105
79	18490	50848
80	18732	50645
81	18987	50478
82	19179	50143
83	19377	49827
84	19594	49562
85	19803	49278
86	20014	49001
87	20220	48713
88	20427	48429
89	20650	48184
90	20865	47922
91	21085	47671
92	21325	47467
93	21556	47239
94	21792	47026
95	22023	46799
96	22246	46556
97	22453	46282
98	22750	46190
99	22951	45903
100	23177	45667
101	23413	45449
102	23598	45135
103	23840	44929
104	24110	44776
105	24318	44507
106	24574	44325
107	24773	44041
108	25024	43850
109	25248	43610
110	25468	43365
111	25656	43066
112	25852	42782
113	26079	42550
114	26312	42328
115	26491	42021
116	26688	41743
117	26873	41448
118	27073	41179
119	27296	40945
120	27489	40666
121	27702	40418
122	27947	40217
123	28170	39983
124	28379	39731
125	28599	39494
126	28957	39445
127	29159	39182
128	29375	38939
129	29549	38641
130	29771	38407
131	29965	38138
132	30190	37908
133	30386	37642
134	30590	37388
135	30765	37099
136	30971	36849
137	31155	36574
138	31349	36311
139	31563	36073
140	31759	35813
141	31958	35559
142	32168	35317
143	32377	35075
144	32588	34835
145	32799	34596
146	33022	34370
147	33212	34110
148	33424	33873
149	33646	33646
150	33849	33401
151	34067	33171
152	34241	32898
153	34461	32671
154	34702	32463
155	34943	32255
156	35150	32015
157	35374	31792
158	35576	31548
159	35763	31292
160	36002	31082
161	36274	30900
162	36486	30666
163	36695	30430
164	36912	30201
165	37094	29943
166	37301	29707
167	37536	29492
168	37727	29244
169	37923	29000
170	38219	28832
171	38440	28606
172	38610	28344
173	38794	28092
174	39025	27875
175	39218	27631
176	39458	27420
177	39683	27199
178	39900	26972
179	40106	26737
180	40327	26513
181	40575	26306
182	40755	26056
183	40919	25797
184	41136	25571
185	41410	25380
186	41629	25155
187	41827	24918
188	42038	24689
189	42272	24473
190	42511	24260
191	42723	24032
192	42971	23823
193	43205	23607
194	43414	23377
195	43605	23137
196	43789	22895
197	43992	22662
198	44234	22450
199	44443	22221
200	44640	21986
201	44897	21781
202	45127	21563
203	45366	21349
204	45572	21119
205	45760	20881
206	45947	20643
207	46177	20424
208	46378	20193
209	46606	19974
210	46825	19751
211	47029	19521
212	47194	19276
213	47395	19046
214	47568	18806
215	47791	18585
216	48018	18366
217	48246	18147
218	48432	17913
219	48638	17686
220	48874	17471
221	49093	17249
222	49331	17033
223	49526	16803
224	49709	16569
225	49959	16358
226	50115	16116
227	50336	15895
228	50508	15659
229	50713	15434
230	50945	15217
231	51114	14981
232	51329	14760
233	51513	14529
234	51739	14310
235	51933	14083
236	52168	13867
237	52362	13640
238	52557	13414
239	52738	13184
240	52992	12973
241	53214	12753
242	53450	12537
243	53662	12315
244	53882	12096
245	54122	11880
246	54401	11673
247	54610	11450
248	54803	11224
249	55035	11007
250	55252	10786
251	55445	10561
252	55696	10346
253	55939	10130
254	56139	9906
255	56355	9686
256	56559	9463
257	56814	9248
258	57030	9028
259	57235	8805
260	57451	8584
261	57674	8364
262	57910	8147
263	58133	7927
264	58326	7703
265	58559	7485
266	58762	7262
267	58998	7044
268	59236	6826
269	59420	6602
270	59634	6381
271	59865	6162
272	60141	5948
273	60334	5725
274	60541	5503
275	60715	5279
276	60899	5056
277	61108	4835
278	61360	4618
279	61524	4394
280	61736	4174
281	61932	3953
282	62125	3731
283	62301	3509
284	62503	3289
285	62692	3068
286	62912	2849
287	63081	2628
288	63330	2410
289	63526	2190
290	63704	1970
291	63935	1751
292	64132	1532
293	64347	1313
294	64537	1093
295	64716	874
296	64890	655
297	65071	436
298	65258	218
299	65497	0
